company_name,current_status,b_corp_profile,website,assessment_year,overall_score
Atticus Health,certified,bcorporation.net/directory/atticus-health,atticushealth.com.au,2019,93
Anthologie,certified,bcorporation.net/directory/anthologie,weareanthologie.com,2019,81.6
Action Sustainability Asia Pacific Pty Ltd,certified,bcorporation.net/directory/action-sustainability-asia-pacific-pty-ltd,www.actionsustainability.com.au,2018,82.7
"CNote Group, Inc.",certified,bcorporation.net/directory/cnote-group-inc,mycnote.com,2018,94
Cage Free Productions,certified,bcorporation.net/directory/cage-free-productions,www.cagefreeproductions.com,2018,91.6
Cage Free Productions,certified,bcorporation.net/directory/cage-free-productions,www.cagefreeproductions.com,2016,121.5
Cage Free Productions,certified,bcorporation.net/directory/cage-free-productions,www.cagefreeproductions.com,2012,93.3
PATAGUA,certified,bcorporation.net/directory/patagua,www.patagua.cl,2017,90
"Capital Plus Financial, LLC",certified,bcorporation.net/directory/capital-plus-financial-llc,www.capitalplusfin.com,2017,99.2
Shifting Patterns Consulting,certified,bcorporation.net/directory/shifting-patterns-consulting,www.shifting-patterns.com,2019,92.1
Shifting Patterns Consulting,certified,bcorporation.net/directory/shifting-patterns-consulting,www.shifting-patterns.com,2016,102.2
Shifting Patterns Consulting,certified,bcorporation.net/directory/shifting-patterns-consulting,www.shifting-patterns.com,2014,86.6
TriCiclos,certified,bcorporation.net/directory/triciclos-brasil,www.triciclos.cl,2015,135.2
TriCiclos,certified,bcorporation.net/directory/triciclos-brasil,www.triciclos.cl,2014,134.4
TriCiclos,certified,bcorporation.net/directory/triciclos-brasil,www.triciclos.cl,2012,106.7
Fibra Design Sustent†vel/ MateriaBrasil,certified,bcorporation.net/directory/fibra-design-sustent†vel-materiabrasil,www.materiabrasil.com,2016,81.1
Dibago,certified,bcorporation.net/directory/dibago,www.dibagodibago.com,2016,100.2
Vista Global Coaching & Consulting LLC,certified,bcorporation.net/directory/vista-global-coaching-consulting-llc,vistaglobalcc.com,2018,123
Vista Global Coaching & Consulting LLC,certified,bcorporation.net/directory/vista-global-coaching-consulting-llc,vistaglobalcc.com,2016,128
Vista Global Coaching & Consulting LLC,certified,bcorporation.net/directory/vista-global-coaching-consulting-llc,vistaglobalcc.com,2014,105.2
Vista Global Coaching & Consulting LLC,certified,bcorporation.net/directory/vista-global-coaching-consulting-llc,vistaglobalcc.com,2012,91.6
Cabot Creamery Co-operative,certified,bcorporation.net/directory/cabot-creamery-co-operative,www.cabotcheese.coop,2017,92.7
Cabot Creamery Co-operative,certified,bcorporation.net/directory/cabot-creamery-co-operative,www.cabotcheese.coop,2014,84.4
Cabot Creamery Co-operative,certified,bcorporation.net/directory/cabot-creamery-co-operative,www.cabotcheese.coop,2012,82.4
Realize Strategies,certified,bcorporation.net/directory/realize-strategies,www.realizestrategies.ca,2016,120.7
Realize Strategies,certified,bcorporation.net/directory/realize-strategies,www.realizestrategies.ca,2015,121.9
stok,certified,bcorporation.net/directory/stok,stok.com,2017,106.9
stok,certified,bcorporation.net/directory/stok,stok.com,2016,112.6
Mialuna,certified,bcorporation.net/directory/mialuna,mialuna.cl,2020,96.2
Mialuna,certified,bcorporation.net/directory/mialuna,mialuna.cl,2017,101.7
Dolium Bodega Subterranea,certified,bcorporation.net/directory/dolium-bodega-subterranea,www.dolium.com,2016,108.2
Dolium Bodega Subterranea,certified,bcorporation.net/directory/dolium-bodega-subterranea,www.dolium.com,2014,93.5
Arbonne,certified,bcorporation.net/directory/arbonne,www.arbonne.com/pws/homeoffice/tabs/home.aspx,2019,83.8
KeHE,certified,bcorporation.net/directory/kehe,www.kehe.com,2017,83.9
KeHE,certified,bcorporation.net/directory/kehe,www.kehe.com,2015,83.2
Daterra Atividades Rurais,certified,bcorporation.net/directory/daterra-atividades-rurais,www.daterracoffee.com.br,2016,97.5
Wetherby Asset Management,certified,bcorporation.net/directory/wetherby-asset-management,www.wetherby.com,2018,124.3
Wetherby Asset Management,certified,bcorporation.net/directory/wetherby-asset-management,www.wetherby.com,2016,101.4
GloryBee,certified,bcorporation.net/directory/glorybee,www.GloryBee.com,2017,100.8
GloryBee,certified,bcorporation.net/directory/glorybee,www.GloryBee.com,2016,88.3
The Morne Wine Company dba Brooks Wines,certified,bcorporation.net/directory/the-morne-wine-company-dba-brooks-wines,www.brookswine.com,2018,83.3
Chris King,certified,bcorporation.net/directory/king-cycle-group-inc,www.chrisking.com,2019,80.7
"WholeTrees, LLC",certified,bcorporation.net/directory/wholetrees-llc,www.wholetrees.com,2017,82.3
Mission Partners,certified,bcorporation.net/directory/mission-partners,mission.partners,2018,95.4
Salt Palm Development,certified,bcorporation.net/directory/salt-palm-development,www.SaltPalm.com,2018,107.7
Fors Marsh Group LLC,certified,bcorporation.net/directory/fors-marsh-group-llc,www.forsmarshgroup.com,2017,84.5
Good Food for Good Inc.,certified,bcorporation.net/directory/good-food-good-inc,www.goodfoodforgood.ca,2018,88
BSW Wealth Partners,certified,bcorporation.net/directory/bsw-wealth-partners-llc,www.bsw.com,2016,91.4
"Makeena, Inc.",certified,bcorporation.net/directory/makeena-inc,makeena.com,2019,81.8
The National Society of Leadership and Success,certified,bcorporation.net/directory/the-national-society-of-leadership-and-success,www.nsls.org,2016,81.3
Fully,certified,bcorporation.net/directory/fully,www.fully.com,2017,89.9
Fully,certified,bcorporation.net/directory/fully,www.fully.com,2015,83.6
American College of Healthcare Sciences,certified,bcorporation.net/directory/american-college-of-healthcare-sciences-achs,www.achs.edu,2016,116.4
Guru Media Solutions,certified,bcorporation.net/directory/guru-media-solutions,weareguru.com,2019,85.4
Where There Be Dragons,certified,bcorporation.net/directory/where-there-be-dragons,wheretherebedragons.com,2017,80.6
Futuro Forestal,certified,bcorporation.net/directory/futuro-forestal,www.futuroforestal.com,2015,89.5
"NativeEnergy, a Public Benefit Corporation",certified,bcorporation.net/directory/nativeenergy-inc,www.nativeenergy.com,2017,112.2
"NativeEnergy, a Public Benefit Corporation",certified,bcorporation.net/directory/nativeenergy-inc,www.nativeenergy.com,2016,103.4
Blue Star Integrative Studio,certified,bcorporation.net/directory/blue-star-integrative-studio,www.bsi.studio,2016,81.3
Runa,certified,bcorporation.net/directory/runa,www.runa.com,2016,80.5
Runa,certified,bcorporation.net/directory/runa,www.runa.com,2014,108.9
Runa,certified,bcorporation.net/directory/runa,www.runa.com,2012,118
