Karün,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/karün,www.karunworld.com,2015,89.7,22.1,33.9,14.9,18.8
Karün,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/karün,www.karunworld.com,2013,81.2,16.6,36.7,5.1,22.6
Soleventus,certified,Machinery & Equipment,bcorporation.net/directory/soleventus,www.soleventus.com,2016,93.2,32.8,48.1,12.3,
Grupo Advance,certified,Management and Financial Consulting,bcorporation.net/directory/grupo-advance,grupoadvance.com.ar,2017,95.6,37.7,26.3,14.0,17.6
Prokanga,certified,HR Consulting & Recruiting,bcorporation.net/directory/prokanga,www.prokanga.com,2019,85.3,45.3,6.9,23.2,
Global Gaming Initiative,certified,Other,bcorporation.net/directory/global-gaming-initiative,www.globalgaminginitiative.com,2017,106.6,58.6,2.2,13.5,15.6
Global Gaming Initiative,certified,Other,bcorporation.net/directory/global-gaming-initiative,www.globalgaminginitiative.com,2015,103.5,53.2,7.7,10.4,16.6
Ad Victoriam Solutions,certified,IT Software & Services/Web Design,bcorporation.net/directory/ad-victoriam-solutions,www.advictoriamsolutions.com,2017,85.8,27.3,9.5,15.0,32.5
Beyond Green Sustainable Food Partners,certified,Restaurant,bcorporation.net/directory/beyond-green-sustainable-food-partners,beyondgreenpartners.com,2016,80.3,31.3,9.8,15.4,17.5
Beyond Green Sustainable Food Partners,certified,Restaurant,bcorporation.net/directory/beyond-green-sustainable-food-partners,beyondgreenpartners.com,2014,93.3,24.3,34.4,15.3,17.3
